,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ratio,literacy_rate
173,Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,1193,62110,97.66856041907873,50.88448830898366
174,Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,565,29373,93.5097099806166,49.4015651837337
175,Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1944,125431,94.37865730650553,51.256934238515726
176,Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,874,43230,93.75994760497812,46.02173802159185
177,Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,831,31687,99.30655728144015,54.5954840603855
178,Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,808,49419,95.401032532174,53.89246083014555
179,Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,340,38194,96.65806430669848,48.23832358063105
180,Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,351,28769,98.50921424242034,56.239199636198265
181,Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,328,31414,98.91751222217067,39.19062395188034
182,Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,2155,68238,92.7720505375126,52.81609222066026
183,Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,22538,350908,94.94152596397039,65.58912352496506
184,Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,591,34879,95.21285530318583,42.00216067382429
185,Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,423,16865,99.65369003259975,57.28745884605506
186,Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,3745,301389,98.898023494097,58.9184189248113
187,Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,3729,214253,94.61458996174181,69.50580418458347
188,Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,17560,808827,97.25698423854435,63.85457043920061
189,Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,9626,440374,98.2769771551731,57.96395246667305
190,Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,3971,271439,95.6320743339861,61.21487700346386
191,Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,117,12516,98.37093803191283,34.05516592877013
192,Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,4987,326594,95.9755072356803,57.330190035414915
193,Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,4510,238505,100.8324773835114,71.91327295047897
194,Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,5711,307257,97.35622464598028,65.52701608237881
195,Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,7320,372671,97.23205596107056,67.25993409396159
196,Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,15013,347962,97.07759019895306,70.47362160622797
197,Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,3373,198064,98.18969481352404,65.77087462543562
198,Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,9752,404767,97.1435485171941,55.61912243417243
199,Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,4851,400702,101.02832854457617,68.9732895524203
200,Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,2456,295937,95.04497465597562,67.93920889696733
201,Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,3308,113931,101.93111635494961,74.4567814628534
202,Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,5051,309494,97.88883507900607,66.14282339050807
203,Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,2135,223166,98.58099284781534,58.210904224703576
204,Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,3367,391033,99.51374732759906,63.66534146947921
205,Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,28397,640868,98.53975919555438,65.38143837298455
206,Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,5200,314547,99.97822730896796,50.79650064391967
207,Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,8791,363835,99.76328191334774,72.058983781514
208,Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,7971,562769,98.35568646092015,67.68960574547029
209,Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,9070,224814,109.44601881056195,78.68691081155228
210,Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,28842,507913,110.01883250324238,87.07616215705599
211,Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,88737,771287,102.67196523493772,86.99995247362591
212,Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,8250,244844,100.6074441759164,83.23098647939446
213,Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,32653,511167,113.55212172202538,84.75748938863728
214,Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,10378,237670,107.97772238245153,79.35687924275744
215,Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,31542,630767,111.34263268985252,85.00775032016317
216,Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,37849,464039,103.92165975240863,88.61751355118201
217,Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,36791,641660,109.81745031415242,84.74383345975252
218,Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,27909,730119,109.80774645875589,80.51007556675063
219,Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,27162,587583,106.69212741949482,79.69909613535407
220,Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,71621,783872,108.72940004223364,84.36981947503307
221,Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,56148,721625,110.78322459434764,85.81789055491478
222,Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,4712,149864,103.49827227372761,78.97837097208289
223,Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,1290,81338,97.62841783737873,58.27194866243926
224,Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,619,84720,90.40120584809289,55.51119373401762
225,Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,1712,277927,102.05918463792689,67.43987476038639
226,Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,1158,181139,98.16984585466297,39.68060749804636
227,Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,2109,230974,97.10848860661933,59.654162027521295
228,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,1166,107819,83.74255402479169,64.29323460588783
229,Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,40788,452912,91.81323970779772,70.03995257819179
230,Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,986,112420,95.06800444783066,53.92632022030832
231,Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,1880,176056,88.2635898564395,53.50921341939144
232,Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,3588,344875,96.42882641845503,61.89604394616346
233,Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,1432,187731,91.0062806610936,59.1444203891889
234,Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,616,97696,87.25238422780056,62.46488737267304
235,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,3518,270457,94.16372077545542,59.17759949862986
236,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,2388,349639,96.43604664225212,49.28819883676084
237,Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,554,62372,100.19834447718611,53.754591752729496
238,Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,2482,144248,91.19058398859188,52.67579473209834
239,Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,15779,306859,86.36941027783408,66.79064740978998
240,Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,986,95066,93.48421845216696,61.80046102740746
241,Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,2871,198076,91.35226791013142,65.3034196640754
242,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,48691,593576,92.78918256770456,70.47127030665331
243,Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,20443,452023,92.85457042241391,71.30580293258323
244,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,744,125411,99.02955790323928,34.34775737331325
245,Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,2179,172416,95.16867493538646,61.20335097465872
246,Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,912,143803,100.83023652507651,57.347533664168814
247,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,2324,239885,96.29626375300029,62.26381311403741
248,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1781,131486,84.00774229537717,60.00523914403577
249,Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,1945,145258,95.44803893501287,61.59718279510016
250,Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,653,76097,90.5451000974732,54.35790737024357
251,Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,1141,194373,90.13090448028008,61.59671432122481
252,Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,1611,231130,95.6201626905185,52.0272814193687
253,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,3644,213825,97.0994566814902,56.75882037209232
254,Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,3406,251132,93.05411803118113,60.959508791572134
255,Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,4546,366494,89.32893508255079,64.98828232409402
256,Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,3754,294702,92.56541064972203,61.54423525136444
257,Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,1566,212138,91.7872650981436,59.509109821158944
258,Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,1182,228695,98.18546040331725,62.66221265420037
259,Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,1733,113184,97.41139696419214,56.67526215617651
260,Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,1382,232735,93.80425869932866,59.14082347831433
261,Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,273,74770,90.13029874179068,47.687686901859536
262,Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,1852,148128,87.65594507471774,52.19118797253846
263,Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,837,102228,95.69534928947479,53.306779836970165
264,Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,1090,132725,90.06464085854634,51.75460812114318
265,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,7501,323379,95.50187003893578,62.45973554304673
266,Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,839,67975,94.98297416791159,55.318739744214106
267,Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,1926,181510,89.57064223044617,59.1495501670808
268,Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,6163,314490,94.5553846582877,77.80342531531403
269,Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,9438,512492,95.0639803129187,77.96149831483721
270,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,44456,92.6218108356513,57.71495543632014
271,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,589477,92.32744201127687,67.64783121091557
272,Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,2932,227025,98.23193288413265,74.9674673882436
273,Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,5614,402052,91.61200083610925,66.4787011774245
274,Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,4767,423036,93.35641017973025,72.68702503771858
275,Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,8239,418666,96.14168996488806,71.61502458595831
276,Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,6065,315332,94.57321463979711,63.09132452597981
277,Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,2866,239981,99.90915329663187,75.93479656440381
278,Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,1221,159114,94.18714353102621,67.16323592489883
279,Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,14297,720791,92.49951646631305,68.36734621506758
280,Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,3791,288895,93.68248089667249,61.02577479038267
281,Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,22269,770005,95.69259306755634,72.90619894060914
282,Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,6217,381722,92.76717407355044,67.25917571375717
283,Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,57964,917626,95.12028427970944,78.94601349071789
284,Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,7548,488748,94.28591246044246,65.13641183211693
285,Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,2579,186202,97.83417549839768,54.99676938897466
286,Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,45039,904710,93.43766886081465,71.15167752354725
287,Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,3209,240042,92.39798731334189,68.64300641418554
288,Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,3982,272486,94.73373847932378,63.058810970727954
289,Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,235018,1925019,91.49486048733729,76.05698045943076
290,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,3342,297308,99.1240580158288,63.6980717330306
291,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,38570,547206,95.94672498502989,73.64642016551515
292,Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,7752,367352,112.19608971503874,74.26258568519364
293,Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,13212,485126,96.56529649070019,72.62094798172878
294,Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,14093,562653,98.81238408781329,74.09740054152472
295,Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,3517,194228,103.59114565861233,78.39301077736623
296,Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,15145,595560,93.8080267450441,67.41177593175715
297,Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,256170,2231800,88.57631560910187,74.38563209099914
298,Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,4313,266155,94.61448117477202,78.37318396585418
299,Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,1875,196022,92.99631469832437,72.66505730228207
300,Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,6094,446516,95.24058691587469,72.9552711275785
301,Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,676,34364,99.86109006415114,65.85242566312411
302,Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,184,18764,93.32788050255434,62.630564148090606
303,Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,837,29894,97.48091053162369,71.4718230996232
304,Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,256,22798,93.73370046457467,55.19735029677678
305,Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,125,11541,94.34718326401459,60.43753688206981
306,Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,880,49507,100.22670682254737,63.79071838699285
307,Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,276,14026,94.25874701746237,70.56000608702269
308,Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,288,24550,97.1908474597297,60.439359958731366
309,Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,5032,135941,101.07705679137379,69.98602773627533
310,Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,510,41677,101.30116921822861,47.46029094663954
311,Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,179,10940,94.52507858411917,57.654530892126964
312,Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,1630,51301,98.44921782211816,55.76045677617129
313,Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,149,32873,97.95111374958057,60.15683472373984
314,Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,4019,79804,100.88774025191951,85.08302336445097
315,Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,186,23948,98.37350918154856,80.16382361127678
316,Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,367,14853,95.61722354256955,78.48847596926926
317,Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,162,9283,94.5477648146009,53.31993146385736
318,Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,482,26394,94.74731876802065,75.03159303218773
319,Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,90,12158,92.65637547961096,69.69454865453199
320,Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,168,7400,97.85269636986781,74.650899706579
321,Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,131,12315,97.6713037654866,83.89054006190617
322,Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,3303,71413,91.90603564444714,73.39728782955089
323,Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,1928,50724,92.84429284861045,73.69322506977925
324,Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,537,40154,92.51968503937007,81.95065306080505
325,Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,178,14398,89.94633898279356,47.80068728522337
326,Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,170,36182,95.14228054882199,64.79885936677722
327,Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,155,24998,92.86786418529819,59.77283362835459
328,Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,198,25268,96.84397372936513,77.07447863751405
329,Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,261,28846,97.64522515691479,73.09121393607423
330,Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,7370,296834,95.69526398923247,69.8647592854905
331,Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,2637,164636,98.13445400257807,72.635804604149
332,Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,15046,349587,94.00854549217895,76.64286503560719
333,Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,1810,117172,94.71508815804293,69.57598479557952
334,Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,635,63112,104.26078718334853,45.436011747664054
335,Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,9049,405298,98.34730763740025,62.62483950976912
336,Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,2498,81433,95.32340153021673,70.03891252016807
337,Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,1953,91171,100.33883834476134,50.86256372596583
338,Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,768,28736,103.67278334189946,54.53288046814257
339,Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,1628,173107,100.65936301047347,75.62444414976524
340,Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,35701,349860,92.92276742147666,77.7171463174271
341,Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,3988,85766,103.24524277079415,41.17647485190052
342,Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,448,24604,101.95768450451874,39.906913332202635
343,Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,2950,140189,100.58206689470654,54.34680113567363
344,Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,1163,124984,91.54795915931211,71.49666230087797
345,Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,757,43976,102.13867970141939,49.048464731921975
